pName,pPrice,pRating,pStock
Soup - Campbells Pasta Fagioli,227,5,122
Caviar - Salmon,321,4,84
Parsnip,167,5,122
Breakfast Quesadillas,88,3,118
Pop - Club Soda Can,222,5,127
"Cup - 3.5oz, Foam",304,1,94
Fruit Mix - Light,141,1,124
"Pail - 4l White, With Handle",247,1,91
Tea - Herbal - 6 Asst,333,2,86
Crackers Cheez It,238,5,109
"Wine - White, French Cross",80,4,120
Brandy Cherry - Mcguinness,304,2,100
"Octopus - Baby, Cleaned",192,2,148
Tea Leaves - Oolong,114,4,98
Guava,135,2,110
Table Cloth 54x72 Colour,172,4,125
Glove - Cutting,114,2,140
"Yogurt - Peach, 175 Gr",107,1,135
Veal - Nuckle,184,1,127
Nescafe - Frothy French Vanilla,149,1,102
Island Oasis - Pina Colada,103,4,84
Bread - Flat Bread,90,4,141
Table Cloth 62x120 Colour,236,2,98
Coffee - Flavoured,106,3,107
Towel Multifold,156,3,135
Tomatillo,155,2,102
Ecolab - Ster Bac,249,3,98
Tuna - Yellowfin,115,4,138
Wine - Sicilia Igt Nero Avola,182,1,119
Bouillion - Fish,292,4,100
"Split Peas - Green, Dry",311,3,136
"Liners - Banana, Paper",130,4,128
Wine - Crozes Hermitage E.,250,5,90
Chicken - Ground,238,1,149
Tia Maria,120,2,139
Oven Mitts 17 Inch,81,5,120
Sprouts - Bean,193,1,136
Sprouts - Peppercress,212,1,103
Food Colouring - Red,180,3,131
Sultanas,150,4,145
Turnip - White,224,5,105
Ecolab Silver Fusion,242,3,104
Flour - Chickpea,228,2,117
"Soup - Knorr, Classic Can. Chili",202,1,85
Puree - Mango,248,4,116
Olives - Morracan Dired,215,5,99
Squid - Tubes / Tenticles 10/20,194,2,95
Cheese - Mozzarella,258,3,121
Pumpkin,198,4,145
Heavy Duty Dust Pan,101,3,97
"Salmon - Smoked, Sliced",317,3,88
Longos - Grilled Salmon With Bbq,119,1,124
Bread Sour Rolls,253,3,132
Beef - Ground Lean Fresh,88,2,90
Milk - 2% 250 Ml,236,2,83
Flour - Fast / Rapid,245,4,132
"Nut - Pecan, Pieces",297,1,108
Cake - Pancake,316,1,87
Salt - Seasoned,308,4,122
Nantucket - Carrot Orange,151,4,149
Crackers - Soda / Saltins,218,4,124
Muffin - Carrot Individual Wrap,143,3,88
"Beef - Baby, Liver",198,5,116
Milk 2% 500 Ml,133,2,106
Scallops - Live In Shell,243,5,140
"Wine - Niagara,vqa Reisling",89,1,99
Pastry - Chocolate Chip Muffin,325,5,100
"Noodles - Cellophane, Thin",91,2,144
Oranges,271,1,105
Table Cloth 54x72 White,278,1,148
"Soup - Campbells, Cream Of",125,1,110
Wine - Magnotta - Belpaese,126,5,100
Cocktail Napkin Blue,134,3,140
Chicken - White Meat With Tender,224,2,100
Lotus Rootlets - Canned,96,2,116
Cup - 8oz Coffee Perforated,122,5,129
Wine - Masi Valpolocell,86,1,94
Tea - Herbal Orange Spice,192,1,118
Soup Bowl Clear 8oz92008,309,5,124
Wine - Riesling Alsace Ac 2001,256,1,88
"Salmon - Whole, 4 - 6 Pounds",179,3,142
Carbonated Water - Cherry,140,4,145
"Pork - Tenderloin, Frozen",259,4,88
Plasticspoonblack,115,1,117
Soup - Campbells Beef Stew,292,3,122
"Stock - Veal, White",333,5,124
Wine - Zonnebloem Pinotage,104,1,92
Pork - Liver,263,3,94
Carbonated Water - Blackcherry,76,3,100
Tomato - Tricolor Cherry,183,1,97
Shark - Loin,302,4,120
Bread - French Baquette,139,1,113
Wine - Rosso Del Veronese Igt,260,3,135
Mussels - Frozen,301,5,132
"Tomatoes - Diced, Canned",337,3,81
"Beer - Alexander Kieths, Pale Ale",73,3,112
Lid - 0090 Clear,201,4,122
Wine - Magnotta - Bel Paese White,313,3,103
White Baguette,278,3,120
Cheese - Oka,325,3,89
Mace Ground,140,4,80
Cotton Wet Mop 16 Oz,336,3,138
Cinnamon Buns Sticky,174,3,131
Chicken - Base,282,5,81
Whmis Spray Bottle Graduated,259,3,136
Mace,280,3,118
Squid - Breaded,81,5,118
Crab - Meat Combo,269,1,105
Wine - Fume Blanc Fetzer,330,1,80
Bread - 10 Grain,310,5,143
Soap - Mr.clean Floor Soap,336,3,147
Pie Box - Cello Window 2.5,303,1,126
Tray - 16in Rnd Blk,141,5,149
Pike - Frozen Fillet,338,4,96
Mushroom - Crimini,151,5,101
Muffin - Bran Ind Wrpd,326,2,80
Squash - Guords,339,1,98
Juice - Apple Cider,128,2,120
Cake - Night And Day Choclate,297,2,131
Bread Ww Cluster,232,4,127
White Fish - Filets,92,5,104
Sauce - Plum,83,3,102
"Yeast - Fresh, Fleischman",158,2,110
Chickensplit Half,95,2,114
Wine - Cotes Du Rhone Parallele,179,3,138
Cranberries - Fresh,319,1,95
Fudge - Cream Fudge,142,2,103
"Stock - Beef, White",154,4,109
"Sauce - White, Mix",195,2,126
"Juice - Tomato, 10 Oz",203,4,143
Juice - Prune,206,2,123
Remy Red,326,1,86
Bananas,173,2,117
"Juice - Apple, 341 Ml",289,3,94
Flower - Leather Leaf Fern,107,5,116
Mcgillicuddy Vanilla Schnap,313,3,88
Nantucket - Kiwi Berry Cktl.,130,3,143
Carbonated Water - Blackberry,102,5,119
Pepper - Gypsy Pepper,243,1,127
Mikes Hard Lemonade,191,4,94
Garlic - Elephant,274,3,82
"Bread - Rolls, Rye",275,1,133
Bay Leaf Fresh,326,4,121
Bread - Italian Sesame Poly,141,4,118
Chips Potato Reg 43g,224,3,100
"Pork - Bacon,back Peameal",162,4,80
Coffee Beans - Chocolate,162,4,102
Pork - Caul Fat,160,2,131
Bread - 10 Grain Parisian,169,2,81
Stainless Steel Cleaner Vision,280,2,84
"Wine - Sherry Dry Sack, William",256,3,101
"Vermacelli - Sprinkles, Assorted",218,3,146
Cheese - Swiss Sliced,339,3,112
Dome Lid Clear P92008h,106,4,136
"Chicken - Breast, 5 - 7 Oz",92,2,125
Cumin - Ground,214,5,106
Pastry - Choclate Baked,162,4,139
Gelatine Powder,223,4,129
"Gin - Gilbeys London, Dry",119,3,113
"Artichokes - Knobless, White",282,4,88
Beef Ground Medium,278,4,83
Beets,87,4,148
Lotus Root,326,1,91
Salt - Seasoned,278,1,149
Flour - Teff,292,2,83
Lettuce - Lambs Mash,315,1,129
Napkin Colour,115,5,83
Syrup - Monin - Granny Smith,205,1,146
"Bag - Bread, White, Plain",233,4,129
"Olives - Black, Pitted",280,4,81
Wine - Port Late Bottled Vintage,110,3,142
Tea - Vanilla Chai,140,2,107
"Lemonade - Natural, 591 Ml",123,1,131
"Beef - Rib Roast, Cap On",258,4,114
"Cake Circle, Paprus",264,5,141
Banana - Leaves,176,4,140
Island Oasis - Cappucino Mix,207,1,115
Trout Rainbow Whole,251,3,93
Mince Meat - Filling,242,4,130
Ecolab - Solid Fusion,220,3,111
Longos - Lasagna Veg,72,2,86
Star Fruit,143,1,132
Gelatine Leaves - Envelopes,271,5,92
Transfer Sheets,227,2,135
Yoplait Drink,133,1,97
Amarula Cream,291,2,129
Compound - Pear,296,5,109
Grapes - Green,218,3,121
Flour - Semolina,329,2,100
Pork - Backfat,161,1,89
"Beef - Tongue, Fresh",89,1,138
Cheese Cloth,258,2,150
Absolut Citron,261,1,144
Hand Towel,323,5,99
Wine - Sogrape Mateus Rose,173,3,109
Pineapple - Regular,108,4,80
Cumin - Ground,230,1,137
"Juice - Clam, 46 Oz",263,5,97
Shrimp - Black Tiger 16/20,112,2,112
Cheese - Cottage Cheese,73,1,106
Oxtail - Cut,309,3,103
Pork Salted Bellies,323,3,113
"Peas - Pigeon, Dry",190,1,100
Wine - Sake,134,2,112
Sultanas,287,4,109
Stock - Fish,87,4,118
Sobe - Tropical Energy,166,4,93
Cheese Cloth No 60,249,5,126
Squash - Sunburst,255,5,103
"Beef - Ox Tail, Frozen",230,1,131
Crackers - Soda / Saltins,219,2,149
Apple - Royal Gala,204,1,93
"Beef - Ground, Extra Lean, Fresh",328,5,80
Fireball Whisky,302,4,150
Pork - Back Ribs,236,5,93
Wine - Rhine Riesling Wolf Blass,339,5,90
"Pork - Tenderloin, Fresh",329,1,84
Hand Towel,78,3,99
Pork - Belly Fresh,227,2,115
Oil - Grapeseed Oil,159,1,100
Kohlrabi,198,3,121
"Fish - Atlantic Salmon, Cold",319,1,123
"Wine - White, Ej",291,4,150
Beer - Tetleys,191,1,113
Cake Slab,284,2,121
Beer - Original Organic Lager,301,4,114
Limes,223,2,88
Oven Mitt - 13 Inch,254,1,88
Bandage - Finger Cots,291,2,142
Butter Sweet,227,3,139
Calypso - Pineapple Passion,203,2,80
Bag Stand,286,5,118
"Olives - Black, Pitted",277,2,109
"Beef - Bones, Cut - Up",133,3,126
"Wine - White, Riesling, Henry Of",252,3,109
Energy Drink - Redbull 355ml,338,2,146
Nantuket Peach Orange,72,2,86
"Artichoke - Hearts, Canned",146,3,142
"Beef - Roasted, Cooked",125,5,100
"Bread - Roll, Whole Wheat",253,1,126
Muffin Hinge 117n,274,4,102
Energy Drink - Franks Original,90,1,137
Beer - Tetleys,201,5,118
Wine - Jafflin Bourgongone,82,5,90
Sauce Tomato Pouch,314,4,132
"Sauce - Bernaise, Mix",231,4,109
Cake Slab,258,1,132
Cod - Black Whole Fillet,271,2,115
Urban Zen Drinks,139,1,126
Potato - Sweet,75,1,132
Napkin Colour,280,2,82
"Bar Mix - Pina Colada, 355 Ml",157,2,141
Transfer Sheets,139,5,89
Sage - Ground,255,5,95
Meldea Green Tea Liquor,295,1,95
Wine - Prosecco Valdobiaddene,311,3,147
Spinach - Packaged,140,5,139
Kahlua,197,5,87
Mangoes,279,2,137
Table Cloth 54x72 White,333,2,84
"Wine - White, Gewurtzraminer",165,1,144
Easy Off Oven Cleaner,87,2,95
Potatoes - Peeled,93,3,100
Sprouts - Pea,254,4,128
Venison - Racks Frenched,331,2,120
Flower - Commercial Spider,262,3,91
Oven Mitt - 13 Inch,257,4,113
Cheese - St. Paulin,233,3,106
Bread - Focaccia Quarter,177,5,138
"Juice - Apple, 341 Ml",140,4,140
"Lamb - Racks, Frenched",306,4,117
Paper Towel Touchless,309,4,88
Burger Veggie,194,5,100
Bagelers - Cinn / Brown,221,1,127
Orange Roughy 6/8 Oz,319,4,142
Cookie Dough - Oatmeal Rasin,293,1,87
Pepper - Orange,149,3,132
Pastry - Cherry Danish - Mini,199,3,99
Dried Apple,148,4,119
"Beef - Ox Tail, Frozen",298,4,125
"Juice - Grapefruit, 341 Ml",284,1,138
Coffee - Irish Cream,277,5,97
"Beef - Ox Tail, Frozen",272,4,126
Lemon Tarts,112,1,126
Chicken - Base,107,4,84
Soup V8 Roasted Red Pepper,185,5,91
Carbonated Water - Raspberry,221,1,145
Wine - Piper Heidsieck Brut,167,5,150
"Juice - Tomato, 10 Oz",78,1,129
"Bread - White, Sliced",263,2,149
Wine - Sake,338,4,133
"Pasta - Cappellini, Dry",101,1,134
Bread Crumbs - Panko,158,5,137
Icecream - Dstk Strw Chseck,275,2,133
Quinoa,144,5,121
Pasta - Agnolotti - Butternut,262,3,132
Beer - Upper Canada Light,111,4,112
Squash - Pepper,95,5,83
"Beef - Tenderlion, Center Cut",304,4,105
Sausage - Meat,271,1,135
Compound - Raspberry,339,5,99
Jello - Assorted,207,2,119
Wine - Prosecco Valdobiaddene,193,4,89
Oil - Canola,208,1,116
Cheese - Marble,305,2,129
Sobe - Green Tea,87,2,91
Creme De Cacao White,230,2,94
Lettuce - Escarole,122,2,125
Fib N9 - Prague Powder,187,4,103
Sambuca - Opal Nera,183,5,117
"Mushroom - Chanterelle, Dry",316,1,81
Appetizer - Seafood Assortment,219,3,108
Plastic Arrow Stir Stick,326,3,131
Cake - Dulce De Leche,150,4,134
Cake - Mini Cheesecake,185,3,132
"Brownies - Two Bite, Chocolate",86,1,143
Beer - Muskoka Cream Ale,269,1,143
Wine - Conde De Valdemar,176,1,82
Venison - Striploin,173,2,103
Otomegusa Dashi Konbu,256,1,105
Campari,314,2,84
"Shrimp - Baby, Warm Water",70,4,143
Squash - Butternut,227,5,80
Flour - Fast / Rapid,309,4,93
Bread Crumbs - Panko,128,2,88
Cheese - Gouda Smoked,284,4,121
Muffin Mix - Chocolate Chip,121,4,88
Crab Brie In Phyllo,150,3,105
Jerusalem Artichoke,140,2,139
Cafe Royale,335,3,134
Bouq All Italian - Primerba,266,4,107
"Carrots - Purple, Organic",190,1,104
Taro Root,305,1,113
Chocolate - Dark Callets,190,2,149
Soup Campbells - Tomato Bisque,298,4,145
Beans - Fava Fresh,128,2,122
Potatoes - Peeled,97,4,115
Ice Cream Bar - Hagen Daz,116,4,91
Pepper - Chili Powder,188,3,129
"Lettuce - Mini Greens, Whole",297,5,147
Garbag Bags - Black,126,4,138
Wine - German Riesling,293,3,95
Wine - Rioja Campo Viejo,203,2,136
"Pasta - Lasagna, Dry",316,3,110
"Pepper - Green, Chili",178,3,131
Samosa - Veg,200,3,84
Beef Wellington,234,3,101
"Spoon - Soup, Plastic",298,3,91
Sauce - Fish 25 Ozf Bottle,245,4,96
Beef Flat Iron Steak,106,4,86
Bar Mix - Lemon,159,3,105
Vinegar - Sherry,251,5,98
Creme De Menth - White,262,2,95
Mountain Dew,244,1,97
Dill Weed - Dry,328,3,90
Chicken - Bones,258,1,83
Lotus Root,191,3,105
"Tarragon - Primerba, Paste",323,2,109
Muffin Chocolate Individual Wrap,160,1,117
Tuna - Salad Premix,242,5,102
Wine - Jackson Triggs Okonagan,196,4,108
"Cheese - Manchego, Spanish",190,5,115
Kiwi,165,3,141
Taro Root,333,1,115
Ginger - Pickled,99,2,141
"Beans - Black Bean, Dry",228,2,97
Soup - Campbells Bean Medley,93,5,137
Burger Veggie,278,3,140
Extract - Raspberry,330,3,138
Cake - Sheet Strawberry,107,5,115
"Salt - Rock, Course",291,2,122
Dried Cherries,250,5,133
Dasheen,130,1,147
Langers - Mango Nectar,115,4,141
Bread - Crusty Italian Poly,340,1,107
Pasta - Orecchiette,72,4,125
"Cheese - Woolwich Goat, Log",144,3,141
"Chocolate - Semi Sweet, Calets",188,2,117
Foie Gras,234,4,90
Oven Mitts 17 Inch,139,4,122
Table Cloth 91x91 Colour,168,3,105
Parsnip,259,2,143
Celery Root,279,2,98
Wine - Cava Aria Estate Brut,217,4,114
Chick Peas - Canned,139,1,131
Ecolab - Balanced Fusion,165,5,141
"Brocolinni - Gaylan, Chinese",335,5,104
"Cheese - Havarti, Salsa",87,3,97
Bread - Petit Baguette,248,4,102
"Syrup - Golden, Lyles",133,1,145
Milk - 2%,161,1,113
"Cheese - Boursin, Garlic / Herbs",141,1,98
Bagelers - Cinn / Brown,306,4,81
Cinnamon Buns Sticky,274,1,142
Barley - Pearl,162,1,89
Beer - Guiness,239,2,108
Beef - Ox Tongue,307,2,136
Cucumber - Pickling Ontario,96,5,146
Garbage Bags - Black,293,4,99
"Artichoke - Bottom, Canned",308,3,94
Bread - Raisin,150,3,121
Pork - Shoulder,268,1,118
"Beef - Rib Roast, Capless",297,3,115
"Bread - Roll, Whole Wheat",139,2,127
Longos - Lasagna Veg,167,3,90
Wiberg Cure,194,5,141
"Beef - Kindney, Whole",121,2,138
Squid - Breaded,194,5,136
Cut Wakame - Hanawakaba,317,1,91
Veal - Provimi Inside,327,2,134
Wine - Vovray Sec Domaine Huet,98,3,117
Artichoke - Fresh,299,3,83
Meldea Green Tea Liquor,117,5,105
"Appetizer - Mini Egg Roll, Shrimp",337,1,122
Port - 74 Brights,260,2,114
Rice - Jasmine Sented,141,4,119
Sugar - Brown,264,5,93
Galliano,316,1,123
Lettuce - Frisee,324,1,84
Cookie Choc,85,4,129
Gatorade - Xfactor Berry,281,3,142
Shrimp - 31/40,287,1,145
Crackers - Soda / Saltins,183,5,121
Banana - Leaves,288,1,87
"Beans - Navy, Dry",315,2,104
Chocolate - Feathers,156,1,104
Cookies - Assorted,108,1,82
"Trout - Rainbow, Fresh",114,5,90
Sauce - Hollandaise,276,5,131
Wine - Ej Gallo Sonoma,336,4,106
Loquat,311,3,84
Veal - Slab Bacon,339,4,131
Cheese - Blue,138,4,142
Dish Towel,161,2,150
Beef - Bresaola,226,4,141
Cheese - Comtomme,320,3,132
Beer - True North Lager,137,1,100
Pants Custom Dry Clean,254,5,83
Tuna - Loin,261,4,135
Flour Dark Rye,265,5,143
"Fish - Base, Bouillion",297,2,134
Juice - Ocean Spray Cranberry,220,5,144
Cheese - Gorgonzola,145,4,102
"Soup - Beef, Base Mix",217,2,81
Ice Cream Bar - Drumstick,197,5,120
Wine - Gewurztraminer Pierre,291,1,101
Pear - Asian,159,5,111
"Sole - Dover, Whole, Fresh",337,3,115
"Clams - Littleneck, Whole",267,4,144
Flavouring - Rum,89,2,145
Chocolate - White,71,1,97
"Oil - Olive, Extra Virgin",298,1,117
Fork - Plastic,307,3,80
Taro Root,335,1,92
Dried Peach,297,2,91
Chip - Potato Dill Pickle,162,2,80
Cinnamon - Ground,87,3,99
Truffle Shells - Semi - Sweet,183,3,121
"Shrimp - 21/25, Peel And Deviened",305,1,99
Lamb Rack - Ontario,287,5,115
Carbonated Water - White Grape,153,3,118
"Lamb - Leg, Bone In",177,5,106
Mustard - Pommery,157,1,107
Extract - Raspberry,261,5,81
Calvados - Boulard,309,4,92
Higashimaru Usukuchi Soy,203,4,146
Creme De Cacao White,200,5,144
"Cheese - Brie,danish",181,5,89
Muffin Mix - Oatmeal,270,4,94
The Pop Shoppe - Lime Rickey,117,4,87
Sauce - Hollandaise,192,2,95
"Wine - Harrow Estates, Vidal",187,5,111
Cinnamon Rolls,328,3,150
Burger Veggie,234,3,85
"Mushroom - Trumpet, Dry",171,1,108
"Veal - Brisket, Provimi,bnls",141,1,141
Carbonated Water - Orange,95,3,90
"Cheese - Boursin, Garlic / Herbs",261,4,137
Cheese - La Sauvagine,120,4,141
Paper Cocktail Umberlla 80 - 180,228,1,105
Cake Sheet Combo Party Pack,261,1,90
"Pepper - Black, Ground",296,5,139
Blue Curacao - Marie Brizard,278,2,108
Corn - Mini,330,2,80
Cookie Dough - Chocolate Chip,96,3,98
Wheat - Soft Kernal Of Wheat,194,2,121
Coriander - Seed,304,1,83
Steampan - Lid For Half Size,251,1,93
Peach - Fresh,331,2,97
Pasta - Cheese / Spinach Bauletti,325,5,87
Wine - Merlot Vina Carmen,280,2,106
Venison - Striploin,134,3,102
Ecolab - Mikroklene 4/4 L,135,1,131
Beans - Butter Lrg Lima,164,2,146
Wine - Chardonnay South,155,5,123
"Beef - Cooked, Corned",197,1,101
Red Pepper Paste,105,2,139
Tomato - Tricolor Cherry,147,2,147
Bacon Strip Precooked,318,2,123
"Chicken - Leg, Boneless",337,1,140
Beer - Sleemans Cream Ale,106,5,106
"Juice - Cranberry, 341 Ml",172,5,142
Butter Balls Salted,253,4,141
Urban Zen Drinks,293,1,121
Guava,144,2,103
Pastry - Chocolate Marble Tea,212,2,95
"Pepper - Black, Ground",117,1,118
Plasticspoonblack,309,4,98
Pie Pecan,218,5,111
Laundry - Bag Cloth,175,4,95
Flour - Strong,258,5,122
Urban Zen Drinks,298,2,139
"Pepper - Black, Ground",270,2,127
"Mushroom - Oyster, Fresh",153,5,147
"Water - Spring Water, 355 Ml",149,3,99
Lettuce - Frisee,78,3,127
Chocolate Liqueur - Godet White,221,5,108
Sauce - Demi Glace,337,3,140
Longos - Cheese Tortellini,276,5,114
Cheese - Wine,97,3,144
Wine - Riesling Dr. Pauly,253,2,100
"Bread - Rolls, Rye",147,2,136
"Pepper - White, Ground",76,5,119
Cream - 35%,245,4,129
Daikon Radish,156,1,143
"Nut - Pistachio, Shelled",115,5,104
Wine - Duboeuf Beaujolais,243,3,144
"Veal - Brisket, Provimi, Bone - In",80,4,123
"Brocolinni - Gaylan, Chinese",323,2,130
"Radish - Black, Winter, Organic",202,4,128
"Cheese - Mozzarella, Shredded",301,4,147
Sausage - Liver,259,2,137
Beer - Mill St Organic,335,4,106
Vector Energy Bar,193,5,134
"Syrup - Monin, Swiss Choclate",164,1,140
Miso Paste White,322,1,134
"Soup - Clam Chowder, Dry Mix",127,4,101
Lychee - Canned,252,5,82
Crackers Cheez It,174,5,109
"Wine - White, Pinot Grigio",207,5,107
"Tart Shells - Sweet, 3",329,2,110
Peas - Frozen,307,5,96
"Quail - Eggs, Fresh",250,5,139
"Beans - Black Bean, Dry",314,2,101
Fish - Bones,168,3,124
Sole - Iqf,162,4,130
"Capon - Breast, Double, Wing On",129,5,103
Icecream Cone - Areo Chocolate,198,5,119
Glass Clear 8 Oz,338,5,91
Cheese - Ricotta,215,5,96
Puree - Pear,306,5,118
"Soup - Campbells, Spinach Crm",193,4,82
Sour Cream,218,3,110
Scallops - 10/20,177,5,140
Guinea Fowl,227,5,84
Bag - Clear 7 Lb,161,5,93
"Beef - Ox Tongue, Pickled",280,2,107
Chicken - White Meat With Tender,259,1,145
Potatoes - Pei 10 Oz,195,4,93
Wine - Chardonnay South,168,5,85
"Sugar - Sweet N Low, Individual",201,3,97
"Juice - Tomato, 10 Oz",285,3,122
Heavy Duty Dust Pan,127,3,116
"Tortillas - Flour, 8",287,3,132
Beef - Cow Feet Split,124,4,92
Liqueur - Melon,229,4,126
Longos - Chicken Wings,140,3,135
Wakami Seaweed,107,4,121
Cabbage - Nappa,282,1,82
Table Cloth 53x53 White,261,5,136
Tea - Herbal Sweet Dreams,210,1,127
Lidsoupcont Rp12dn,213,5,89
Apricots Fresh,193,3,130
"Wine - White, Riesling, Henry Of",89,1,117
Bread - Corn Muffaleta Onion,183,3,85
"Nut - Chestnuts, Whole",298,5,135
Cheese - Victor Et Berthold,210,1,146
Chocolate - Feathers,99,2,102
Kaffir Lime Leaves,318,1,120
Trout - Smoked,324,5,109
Gatorade - Xfactor Berry,83,5,88
Tomato - Green,82,4,125
"Lentils - Red, Dry",82,1,145
"Wine - White, Riesling, Semi - Dry",300,2,140
Tea - Decaf 1 Cup,236,3,112
Madeira,134,3,130
Muffin Mix - Banana Nut,121,2,113
Mousse - Banana Chocolate,255,3,97
Parasol Pick Stir Stick,212,3,134
Wine - Ice Wine,291,5,101
Pineapple - Golden,250,5,101
Container - Clear 32 Oz,100,1,117
"Brandy - Orange, Mc Guiness",90,2,96
Cod - Black Whole Fillet,312,1,95
Rice - Basmati,303,3,129
"Nut - Walnut, Pieces",81,3,149
Appetizer - Escargot Puff,242,3,121
Bouq All Italian - Primerba,70,2,148
Chutney Sauce - Mango,290,2,104
Wine - Shiraz Wolf Blass Premium,276,4,133
Soup - Campbells Broccoli,267,2,103
Onions Granulated,152,3,114
Celery,322,1,95
Coriander - Seed,87,1,134
Mustard Prepared,77,1,93
"Asparagus - White, Fresh",145,2,100
Chocolate - Dark,152,1,124
Wine - Prosecco Valdobienne,189,1,142
Bread Foccacia Whole,282,5,140
Island Oasis - Wildberry,138,1,148
Coffee Cup 12oz 5342cd,178,1,103
Soup - Verve - Chipotle Chicken,201,1,103
Cookie Choc,118,1,149
"Nut - Hazelnut, Ground, Natural",264,5,138
Pasta - Agnolotti - Butternut,123,2,133
Guava,294,4,138
"Beans - Long, Chinese",240,2,117
"Chilli Paste, Ginger Garlic",105,1,127
Spic And Span All Purpose,123,5,121
Lid Coffee Cup 8oz Blk,136,2,102
Bread - Ciabatta Buns,123,1,85
Bread - Raisin Walnut Pull,119,3,107
"Beans - Long, Chinese",210,4,107
Bread Roll Foccacia,315,5,132
Table Cloth 54x72 White,195,5,94
Apricots - Halves,204,1,130
Wine - Cave Springs Dry Riesling,152,1,103
Cake - Mini Cheesecake,205,5,98
"Pasta - Orzo, Dry",193,2,136
Creme De Banane - Marie,82,4,92
Tea - Herbal Orange Spice,95,3,128
Mint - Fresh,191,4,133
Lobster - Base,226,3,123
Onions - Cippolini,336,2,141
Sauce - Caesar Dressing,269,4,90
Ice Cream - Turtles Stick Bar,321,2,93
Seaweed Green Sheets,289,1,111
"Pork - Tenderloin, Fresh",221,5,119
Rice - 7 Grain Blend,185,5,81
Wasabi Powder,101,4,103
Calypso - Pineapple Passion,108,5,111
Pepper - Cayenne,267,4,92
Yoplait Drink,250,3,83
Chocolate Bar - Smarties,162,3,116
Roe - Flying Fish,254,4,135
Wine - Winzer Krems Gruner,91,5,104
Cookie - Oreo 100x2,130,4,114
Godiva White Chocolate,296,5,117
Silicone Parch. 16.3x24.3,340,5,94
Spinach - Spinach Leaf,147,2,106
Bread - Raisin Walnut Oval,183,5,130
Fiddlehead - Frozen,203,3,131
Onion Powder,191,1,136
Sole - Iqf,204,3,96
"Soup - Campbells, Cream Of",310,3,107
Red Cod Fillets - 225g,176,5,121
Poppy Seed,125,2,93
Coffee - Frthy Coffee Crisp,160,4,93
Milk - Chocolate 250 Ml,155,2,139
Raspberries - Fresh,242,4,118
Lamb - Shanks,199,3,119
Miso - Soy Bean Paste,303,2,123
Tuna - Salad Premix,307,1,100
Yogurt - Plain,211,2,126
Cookie Dough - Chunky,90,3,144
Dr. Pepper - 355ml,266,4,98
Lambcasing,320,2,136
Beef - Tenderloin - Aa,263,3,145
Sprouts Dikon,327,3,135
Mushroom - Chanterelle Frozen,192,1,122
Juice - Apple 284ml,225,1,150
Apple - Northern Spy,214,3,119
Kellogs All Bran Bars,169,2,138
"Seedlings - Buckwheat, Organic",195,4,105
Onions - Red,167,4,88
Crackers - Soda / Saltins,273,2,122
"Juice - Pineapple, 48 Oz",106,1,103
